s0id,acid,spid,apid,rowi,coli,wllt,wllq,conc,rval,srcf,created_date,modified_date,modified_by
1,1,01140000A,TP0001059.Plate.8,4,6,t,1,100.1,16.13,TP0001059 Plate 8_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
2,1,01140000A,TP0001059.Plate.8,5,6,t,1,100.1,17.27,TP0001059 Plate 8_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
3,1,01140002A,TP0001061.Plate.14,6,9,t,1,100.1,25.87,TP0001061 Plate 14_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
4,1,01140002A,TP0001061.Plate.14,7,9,t,1,100.1,24.16,TP0001061 Plate 14_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
5,1,01140004A,TP0001059.Plate.5,4,3,t,1,100.0,7.67,TP0001059 Plate 5_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
6,1,01140004A,TP0001059.Plate.5,5,3,t,1,100.0,6.98,TP0001059 Plate 5_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
7,1,01140006A,TP0001054.Plate.1,2,6,t,1,99.9,17.4,TP0001054 Plate 1_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
8,1,01140006A,TP0001054.Plate.1,3,6,t,1,99.9,24.86,TP0001054 Plate 1_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
9,1,01140008A,TP0001054.Plate.2,2,10,t,1,99.9,23.01,TP0001054 Plate 2_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
10,1,01140008A,TP0001054.Plate.2,3,10,t,1,99.9,24.3,TP0001054 Plate 2_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
11,1,01140010A,TP0001054.Plate.3,4,9,t,1,100.0,26.29,TP0001054 Plate 3_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
12,1,01140010A,TP0001054.Plate.3,5,9,t,1,100.0,28.75,TP0001054 Plate 3_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
13,1,01140012A,TP0001056.Plate.12,6,9,t,1,100.0,31.06,TP0001056 Plate 12_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
14,1,01140012A,TP0001056.Plate.12,7,9,t,1,100.0,28.26,TP0001056 Plate 12_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
15,1,01140014A,TP0001061.Plate.13,6,9,t,1,100.1,22.73,TP0001061 Plate 13_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
16,1,01140014A,TP0001061.Plate.13,7,9,t,1,100.1,21.94,TP0001061 Plate 13_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
17,1,01140016A,TP0001054.Plate.1,4,9,t,1,20.0,23.24,TP0001054 Plate 1_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
18,1,01140016A,TP0001054.Plate.1,5,9,t,1,20.0,17.97,TP0001054 Plate 1_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
19,1,01140018A,TP0001054.Plate.3,6,10,t,1,100.0,36.9,TP0001054 Plate 3_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
20,1,01140018A,TP0001054.Plate.3,7,10,t,1,100.0,38.1,TP0001054 Plate 3_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
21,1,01140020A,TP0001054.Plate.2,2,6,t,1,100.1,20.73,TP0001054 Plate 2_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
22,1,01140020A,TP0001054.Plate.2,3,6,t,1,100.1,27.74,TP0001054 Plate 2_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
23,1,01140022A,PhaseII.VR.Plate.5,4,4,t,1,10.01,15.88,2900-TO3 Phase II VR Plate 5_Ceetox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
24,1,01140022A,PhaseII.VR.Plate.5,5,4,t,1,10.01,19.97,2900-TO3 Phase II VR Plate 5_Ceetox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
25,1,01140024A,TP0001056.Plate.9,2,10,t,1,100.1,21.59,TP0001056 Plate 9_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
26,1,01140024A,TP0001056.Plate.9,3,10,t,1,100.1,31.79,TP0001056 Plate 9_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
27,1,01140026A,TP0001059.Plate.5,2,10,t,1,99.9,14.5,TP0001059 Plate 5_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
28,1,01140026A,TP0001059.Plate.5,3,10,t,1,99.9,13.93,TP0001059 Plate 5_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
29,1,01140028A,TP0001056.Plate.11,4,7,t,1,50.1,19.18,TP0001056 Plate 11_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
30,1,01140028A,TP0001056.Plate.11,5,7,t,1,50.1,27.34,TP0001056 Plate 11_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
31,1,01140030A,PhaseII.VR.Plate.1,4,3,t,1,10.01,12.07,2900-TO3 Phase II VR Plate 1_Ceetox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
32,1,01140030A,PhaseII.VR.Plate.1,5,3,t,1,10.01,11.41,2900-TO3 Phase II VR Plate 1_Ceetox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
33,1,01140032A,PhaseII.VR.Plate.8,6,7,t,1,1.0,12.29,2900-TO3 Phase II VR Plate 8_Ceetox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
34,1,01140032A,PhaseII.VR.Plate.8,7,7,t,1,1.0,14.12,2900-TO3 Phase II VR Plate 8_Ceetox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
35,1,01140034A,TP0001057.Plate.16,2,7,t,1,20.0,27.47,TP0001057 Plate 16_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
36,1,01140034A,TP0001057.Plate.16,3,7,t,1,20.0,30.49,TP0001057 Plate 16_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
37,1,01140036A,TP0001058.Plate.3,2,6,t,1,100.1,19.41,TP0001058 Plate 3_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
38,1,01140036A,TP0001058.Plate.3,3,6,t,1,100.1,24.4,TP0001058 Plate 3_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
39,1,01140038A,TP0001057.Plate.15,6,7,t,1,99.9,29.17,TP0001057 Plate 15_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
40,1,01140038A,TP0001057.Plate.15,7,7,t,1,99.9,27.72,TP0001057 Plate 15_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
41,1,01140040A,TP0001057.Plate.14,2,9,t,1,20.0,28.9,TP0001057 Plate 14_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
42,1,01140040A,TP0001057.Plate.14,3,9,t,1,20.0,28.8,TP0001057 Plate 14_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
43,1,01140042A,TP0001060.Plate.10,2,4,t,1,100.1,28.33,TP0001060 Plate 10_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
44,1,01140042A,TP0001060.Plate.10,3,4,t,1,100.1,26.22,TP0001060 Plate 10_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
45,1,01140044A,TP0001054.Plate.8,4,7,t,1,100.0,17.12,TP0001055 Plate 8_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
46,1,01140044A,TP0001054.Plate.8,5,7,t,1,100.0,16.3,TP0001055 Plate 8_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
47,1,01140046A,TP0001057.Plate.15,2,4,t,1,99.9,33.28,TP0001057 Plate 15_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
48,1,01140046A,TP0001057.Plate.15,3,4,t,1,99.9,30.2,TP0001057 Plate 15_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
49,1,01140048A,TP0001054.Plate.7,2,9,t,1,100.1,28.98,TP0001055 Plate 7_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
50,1,01140048A,TP0001054.Plate.7,3,9,t,1,100.1,27.61,TP0001055 Plate 7_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
51,1,01140050A,TP0001059.Plate.6,2,3,t,1,100.0,29.51,TP0001059 Plate 6_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
52,1,01140050A,TP0001059.Plate.6,3,3,t,1,100.0,28.36,TP0001059 Plate 6_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
53,1,01140052A,TP0001059.Plate.6,4,7,t,1,100.0,21.31,TP0001059 Plate 6_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
54,1,01140052A,TP0001059.Plate.6,5,7,t,1,100.0,23.5,TP0001059 Plate 6_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
55,1,01140054A,TP0001060.Plate.12,4,3,t,1,100.0,21.78,TP0001060 Plate 12_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
56,1,01140054A,TP0001060.Plate.12,5,3,t,1,100.0,25.09,TP0001060 Plate 12_CeeTox.csv,1449593024.74981,1449593024.75081,DFiler.DFiler.DFiler
